124, 120,0,0,0,0
135, 148,0,0,0,0
190, 223,0,0,0,0
220, 226,0,0,0,0
233, 225,0,1,0,0
240, 196,0,0,0,0
297, 216,0,0,0,0
320, 232,0,0,0,0
366, 209,0,0,0,0
358, 163,0,0,0,0
377, 151,0,1,0,0
444, 155,0,0,0,0
462, 163,0,0,0,0
461, 196,0,1,0,0
453, 223,0,0,0,0
446, 268,0,1,0,0
439, 276,0,0,0,0
402, 278,0,0,0,0
392, 252,0,0,0,0
375, 259,0,0,0,0
374, 272,0,0,0,0
364, 281,0,0,0,0
318, 275,0,0,0,0
302, 319,0,1,0,0
306, 333,0,0,0,0
320, 354,0,0,0,0
347, 364,0,0,0,0
348, 371,0,0,0,0
349, 390,0,0,0,0
356, 440,0,0,0,0
370, 470,0,0,0,0
407, 475,0,1,0,0
452, 488,0,0,0,0
474, 494,0,0,0,0
